nhood,day_of_week,hour_bucket,avg_pickups,max_pickups,min_pickups,nhood_id,hour_bucket_id
Mission,4,7-10,17.36,60.75,4.75,9,4
Mission,5,0-7,3.41,20.0,0.25,9,0
Mission,5,10-16,17.33,58.0,3.5,9,1
Mission,5,16-19,26.6,120.5,6.75,9,2
Mission,5,19-0,28.81,115.0,4.5,9,3
Mission,5,7-10,8.25,28.0,1.5,9,4
Mission,6,0-7,3.86,26.0,0.0,9,0
Mission,6,10-16,15.46,60.75,3.5,9,1
Mission,6,16-19,19.67,82.25,3.75,9,2
Mission,6,19-0,10.73,62.0,0.0,9,3
Mission,6,7-10,6.43,27.0,0.5,9,4
Mission Bay,0,0-7,3.1,29.0,0.0,10,0
Mission Bay,0,10-16,10.05,38.8,1.2,10,1
Mission Bay,0,16-19,16.79,63.4,2.2,10,2
Mission Bay,0,19-0,7.44,59.0,0.0,10,3
Mission Bay,0,7-10,16.34,56.0,1.4,10,4
Mission Bay,1,0-7,3.4,26.4,0.0,10,0
Mission Bay,1,10-16,11.31,38.4,1.8,10,1
Mission Bay,1,16-19,19.51,74.2,3.6,10,2
Mission Bay,1,19-0,9.63,72.2,0.0,10,3
Mission Bay,1,7-10,18.2,58.6,1.6,10,4
Mission Bay,2,0-7,3.37,32.4,0.0,10,0
Mission Bay,2,10-16,12.75,48.4,0.8,10,1
Mission Bay,2,16-19,21.53,72.6,3.4,10,2
Mission Bay,2,19-0,11.68,74.6,0.0,10,3
Mission Bay,2,7-10,21.39,62.4,2.2,10,4
Mission Bay,3,0-7,3.89,36.75,0.0,10,0
Mission Bay,3,10-16,13.61,47.0,2.0,10,1
Mission Bay,3,16-19,20.02,66.0,2.5,10,2
Mission Bay,3,19-0,15.12,88.0,0.0,10,3
Mission Bay,3,7-10,22.24,80.5,2.0,10,4
Mission Bay,4,0-7,3.72,33.0,0.0,10,0
Mission Bay,4,10-16,13.53,49.75,1.0,10,1
Mission Bay,4,16-19,23.79,81.75,2.5,10,2
Mission Bay,4,19-0,18.54,122.0,0.0,10,3
Mission Bay,4,7-10,19.13,64.75,1.25,10,4
Mission Bay,5,0-7,1.84,14.75,0.0,10,0
Mission Bay,5,10-16,10.46,40.75,0.5,10,1
Mission Bay,5,16-19,16.23,51.5,0.25,10,2
Mission Bay,5,19-0,17.15,132.75,0.0,10,3
Mission Bay,5,7-10,5.56,26.75,0.25,10,4
Mission Bay,6,0-7,2.28,20.5,0.0,10,0
Mission Bay,6,10-16,10.13,43.5,0.25,10,1
Mission Bay,6,16-19,12.71,44.75,1.5,10,2
Mission Bay,6,19-0,5.47,34.25,0.0,10,3
Mission Bay,6,7-10,4.52,28.0,0.0,10,4
Nob Hill,0,0-7,4.52,24.6,0.0,11,0
Nob Hill,0,10-16,12.72,41.4,3.4,11,1
Nob Hill,0,16-19,24.76,65.8,5.4,11,2
Nob Hill,0,19-0,16.17,63.8,0.6,11,3
Nob Hill,0,7-10,13.75,49.8,2.6,11,4
Nob Hill,1,0-7,4.51,31.0,0.0,11,0
Nob Hill,1,10-16,13.58,40.8,2.6,11,1
Nob Hill,1,16-19,30.3,93.8,5.8,11,2
Nob Hill,1,19-0,20.64,85.4,0.4,11,3
Nob Hill,1,7-10,15.0,57.6,2.0,11,4
Nob Hill,2,0-7,4.85,28.4,0.2,11,0
Nob Hill,2,10-16,15.37,43.4,4.0,11,1
Nob Hill,2,16-19,34.65,92.8,5.0,11,2
Nob Hill,2,19-0,25.4,90.0,0.8,11,3
Nob Hill,2,7-10,15.59,46.6,3.0,11,4
Nob Hill,3,0-7,5.16,29.75,0.25,11,0
Nob Hill,3,10-16,15.41,50.75,3.5,11,1
Nob Hill,3,16-19,35.3,109.5,6.75,11,2
Nob Hill,3,19-0,31.79,115.5,2.0,11,3
Nob Hill,3,7-10,14.81,44.75,2.75,11,4
Nob Hill,4,0-7,5.07,30.5,0.75,11,0
Nob Hill,4,10-16,17.58,52.25,3.75,11,1
Nob Hill,4,16-19,42.82,98.75,6.5,11,2
Nob Hill,4,19-0,41.18,105.0,4.25,11,3
Nob Hill,4,7-10,15.01,51.0,2.5,11,4
Nob Hill,5,0-7,3.96,12.25,0.75,11,0
Nob Hill,5,10-16,27.53,90.5,6.25,11,1
Nob Hill,5,16-19,42.62,103.5,10.75,11,2
Nob Hill,5,19-0,39.94,112.25,5.5,11,3
Nob Hill,5,7-10,11.29,34.25,1.75,11,4
Nob Hill,6,0-7,4.18,14.75,0.25,11,0
Nob Hill,6,10-16,18.91,52.25,3.75,11,1
Nob Hill,6,16-19,28.2,69.0,9.5,11,2
Nob Hill,6,19-0,14.52,62.25,0.25,11,3
Nob Hill,6,7-10,8.71,31.0,0.75,11,4
North Beach/Waterfront,0,0-7,2.12,18.6,0.0,12,0
North Beach/Waterfront,0,10-16,11.15,53.4,0.0,12,1
North Beach/Waterfront,0,16-19,17.8,76.2,0.0,12,2
North Beach/Waterfront,0,19-0,7.93,74.2,0.0,12,3
North Beach/Waterfront,0,7-10,13.7,59.4,0.0,12,4
North Beach/Waterfront,1,0-7,2.12,20.6,0.0,12,0
North Beach/Waterfront,1,10-16,11.85,54.6,0.0,12,1
North Beach/Waterfront,1,16-19,19.55,78.2,0.0,12,2
North Beach/Waterfront,1,19-0,9.63,76.2,0.0,12,3
North Beach/Waterfront,1,7-10,14.84,58.2,0.0,12,4
North Beach/Waterfront,2,0-7,2.29,19.2,0.0,12,0
North Beach/Waterfront,2,10-16,13.43,66.8,0.0,12,1
North Beach/Waterfront,2,16-19,22.16,85.2,0.0,12,2
North Beach/Waterfront,2,19-0,12.38,91.2,0.0,12,3
North Beach/Waterfront,2,7-10,16.48,65.4,0.0,12,4
North Beach/Waterfront,3,0-7,2.52,22.0,0.0,12,0
North Beach/Waterfront,3,10-16,14.63,65.75,0.0,12,1
North Beach/Waterfront,3,16-19,21.88,89.5,0.0,12,2
North Beach/Waterfront,3,19-0,14.45,100.0,0.0,12,3
North Beach/Waterfront,3,7-10,18.79,77.0,0.0,12,4
North Beach/Waterfront,4,0-7,2.4,21.0,0.0,12,0
North Beach/Waterfront,4,10-16,14.64,66.0,0.0,12,1
North Beach/Waterfront,4,16-19,22.63,126.25,0.0,12,2
North Beach/Waterfront,4,19-0,20.25,151.75,0.0,12,3
North Beach/Waterfront,4,7-10,17.36,79.75,0.0,12,4
North Beach/Waterfront,5,0-7,1.68,14.0,0.0,12,0
North Beach/Waterfront,5,10-16,18.18,96.5,0.0,12,1
North Beach/Waterfront,5,16-19,23.58,162.0,0.0,12,2
North Beach/Waterfront,5,19-0,21.24,175.75,0.0,12,3
North Beach/Waterfront,5,7-10,8.57,61.5,0.0,12,4
North Beach/Waterfront,6,0-7,1.9,18.0,0.0,12,0
North Beach/Waterfront,6,10-16,13.85,69.75,0.0,12,1
North Beach/Waterfront,6,16-19,15.96,80.5,0.0,12,2
North Beach/Waterfront,6,19-0,7.35,71.5,0.0,12,3
North Beach/Waterfront,6,7-10,7.15,61.75,0.0,12,4
Pacific Heights,0,0-7,4.12,35.6,0.0,13,0
Pacific Heights,0,10-16,11.0,33.0,1.2,13,1
Pacific Heights,0,16-19,17.65,45.0,3.0,13,2
Pacific Heights,0,19-0,9.27,46.6,0.0,13,3
Pacific Heights,0,7-10,16.38,44.2,2.2,13,4
Pacific Heights,1,0-7,4.31,29.2,0.0,13,0
Pacific Heights,1,10-16,12.18,34.6,0.8,13,1
Pacific Heights,1,16-19,20.17,45.4,4.2,13,2
Pacific Heights,1,19-0,12.7,56.6,0.0,13,3
Pacific Heights,1,7-10,17.61,44.4,3.2,13,4
Pacific Heights,2,0-7,4.8,31.4,0.0,13,0
Pacific Heights,2,10-16,12.83,36.2,1.6,13,1
Pacific Heights,2,16-19,22.49,52.2,3.4,13,2
Pacific Heights,2,19-0,15.4,66.0,0.2,13,3
Pacific Heights,2,7-10,18.87,52.8,2.6,13,4
Pacific Heights,3,0-7,4.61,32.75,0.0,13,0
Pacific Heights,3,10-16,13.59,39.25,2.25,13,1
Pacific Heights,3,16-19,20.93,55.5,3.5,13,2
Pacific Heights,3,19-0,18.73,65.75,0.25,13,3
Pacific Heights,3,7-10,18.34,48.25,3.0,13,4
Pacific Heights,4,0-7,4.31,27.0,0.0,13,0
Pacific Heights,4,10-16,14.31,39.0,1.75,13,1
Pacific Heights,4,16-19,24.8,61.0,5.0,13,2
Pacific Heights,4,19-0,23.97,71.5,0.5,13,3
Pacific Heights,4,7-10,18.68,42.5,3.75,13,4
Pacific Heights,5,0-7,2.73,12.0,0.0,13,0
Pacific Heights,5,10-16,19.83,46.25,2.25,13,1
Pacific Heights,5,16-19,29.48,71.5,6.5,13,2
Pacific Heights,5,19-0,25.99,76.75,1.25,13,3
Pacific Heights,5,7-10,10.25,34.25,0.5,13,4
Pacific Heights,6,0-7,3.41,23.5,0.0,13,0
Pacific Heights,6,10-16,15.38,39.25,2.0,13,1
Pacific Heights,6,16-19,20.36,46.25,5.25,13,2
Pacific Heights,6,19-0,8.61,45.25,0.0,13,3
Pacific Heights,6,7-10,8.02,24.0,0.75,13,4
Potrero Hill,0,0-7,1.54,10.4,0.0,14,0
Potrero Hill,0,10-16,6.76,26.8,0.8,14,1
Potrero Hill,0,16-19,10.35,28.4,2.0,14,2
Potrero Hill,0,19-0,4.6,22.2,0.0,14,3
Potrero Hill,0,7-10,11.6,44.4,2.0,14,4
Potrero Hill,1,0-7,1.51,12.6,0.0,14,0
Potrero Hill,1,10-16,7.63,30.4,1.4,14,1
Potrero Hill,1,16-19,11.9,34.0,1.4,14,2
Potrero Hill,1,19-0,6.09,28.0,0.0,14,3
Potrero Hill,1,7-10,12.75,39.4,2.4,14,4
Potrero Hill,2,0-7,1.51,10.0,0.0,14,0
Potrero Hill,2,10-16,8.67,28.2,1.4,14,1
Potrero Hill,2,16-19,14.05,45.6,2.8,14,2
Potrero Hill,2,19-0,7.15,33.0,0.0,14,3
Potrero Hill,2,7-10,13.74,43.6,2.0,14,4
Potrero Hill,3,0-7,1.82,12.25,0.0,14,0
Potrero Hill,3,10-16,9.49,30.25,1.25,14,1
Potrero Hill,3,16-19,13.72,47.75,2.75,14,2
Potrero Hill,3,19-0,10.35,65.5,0.0,14,3
Potrero Hill,3,7-10,16.1,55.75,2.0,14,4
Potrero Hill,4,0-7,1.81,11.5,0.0,14,0
Potrero Hill,4,10-16,9.2,29.25,1.5,14,1
Potrero Hill,4,16-19,14.39,58.5,2.75,14,2
Potrero Hill,4,19-0,15.02,107.75,1.0,14,3
Potrero Hill,4,7-10,14.23,43.0,1.5,14,4
Potrero Hill,5,0-7,1.58,7.0,0.0,14,0
Potrero Hill,5,10-16,8.41,28.0,1.25,14,1
Potrero Hill,5,16-19,12.15,52.25,1.5,14,2
Potrero Hill,5,19-0,12.8,57.5,0.5,14,3
Potrero Hill,5,7-10,4.44,20.5,0.0,14,4
Potrero Hill,6,0-7,1.74,9.25,0.0,14,0
Potrero Hill,6,10-16,7.0,22.0,1.0,14,1
Potrero Hill,6,16-19,8.23,24.0,0.5,14,2
Potrero Hill,6,19-0,3.65,14.5,0.0,14,3
Potrero Hill,6,7-10,3.14,17.5,0.0,14,4
Russian Hill,0,0-7,1.91,13.4,0.0,15,0
Russian Hill,0,10-16,8.23,24.0,1.6,15,1
Russian Hill,0,16-19,16.59,51.6,4.4,15,2
Russian Hill,0,19-0,9.88,58.4,0.0,15,3
Russian Hill,0,7-10,8.33,30.0,1.6,15,4
Russian Hill,1,0-7,1.98,12.2,0.0,15,0
Russian Hill,1,10-16,8.44,28.0,1.4,15,1
Russian Hill,1,16-19,19.31,73.8,3.2,15,2
Russian Hill,1,19-0,13.68,83.4,0.0,15,3
Russian Hill,1,7-10,9.22,41.0,1.2,15,4
Russian Hill,2,0-7,2.17,14.4,0.0,15,0
Russian Hill,2,10-16,9.52,32.4,1.6,15,1
Russian Hill,2,16-19,22.92,91.4,5.2,15,2
Russian Hill,2,19-0,16.7,99.0,0.0,15,3
Russian Hill,2,7-10,10.13,43.6,1.4,15,4
Russian Hill,3,0-7,2.08,12.25,0.0,15,0
Russian Hill,3,10-16,9.97,31.75,1.5,15,1
Russian Hill,3,16-19,21.47,85.0,2.5,15,2
Russian Hill,3,19-0,19.84,96.0,0.0,15,3
Russian Hill,3,7-10,10.34,43.0,1.75,15,4
Russian Hill,4,0-7,2.37,13.75,0.0,15,0
Russian Hill,4,10-16,12.24,38.0,1.25,15,1
Russian Hill,4,16-19,29.56,112.5,4.75,15,2
Russian Hill,4,19-0,28.44,125.75,1.5,15,3
Russian Hill,4,7-10,9.78,40.25,1.75,15,4
Russian Hill,5,0-7,2.18,10.5,0.0,15,0
Russian Hill,5,10-16,22.45,84.75,3.75,15,1
Russian Hill,5,16-19,32.48,107.5,5.25,15,2
Russian Hill,5,19-0,29.12,109.5,2.0,15,3
Russian Hill,5,7-10,8.68,37.75,1.25,15,4
Russian Hill,6,0-7,2.5,9.0,0.0,15,0
Russian Hill,6,10-16,16.34,50.75,3.0,15,1
Russian Hill,6,16-19,22.65,68.5,3.5,15,2
Russian Hill,6,19-0,10.09,59.25,0.0,15,3
Russian Hill,6,7-10,6.98,35.75,0.0,15,4
Tenderloin,0,0-7,4.01,17.8,0.2,16,0
Tenderloin,0,10-16,13.45,36.6,4.0,16,1
Tenderloin,0,16-19,21.79,58.2,5.0,16,2
Tenderloin,0,19-0,12.81,48.0,0.2,16,3
Tenderloin,0,7-10,12.98,41.6,1.6,16,4
Tenderloin,1,0-7,3.96,22.2,0.2,16,0
Tenderloin,1,10-16,14.32,37.2,4.2,16,1
Tenderloin,1,16-19,24.53,68.4,5.8,16,2
Tenderloin,1,19-0,16.63,55.8,0.4,16,3
Tenderloin,1,7-10,13.53,41.2,2.2,16,4
Tenderloin,2,0-7,4.11,19.4,0.2,16,0
Tenderloin,2,10-16,15.77,41.2,4.8,16,1
Tenderloin,2,16-19,27.38,75.4,7.6,16,2
Tenderloin,2,19-0,20.81,66.6,1.4,16,3
Tenderloin,2,7-10,14.45,43.6,2.8,16,4
Tenderloin,3,0-7,4.72,20.0,0.25,16,0
Tenderloin,3,10-16,17.62,43.5,4.5,16,1
Tenderloin,3,16-19,27.48,92.5,5.25,16,2
Tenderloin,3,19-0,24.8,80.25,0.5,16,3
Tenderloin,3,7-10,15.16,46.5,2.25,16,4
Tenderloin,4,0-7,4.97,23.75,0.0,16,0
Tenderloin,4,10-16,17.27,50.0,4.25,16,1
Tenderloin,4,16-19,30.93,93.75,7.75,16,2
Tenderloin,4,19-0,34.51,99.25,5.25,16,3
Tenderloin,4,7-10,14.44,53.5,3.0,16,4
Tenderloin,5,0-7,4.91,14.0,0.5,16,0
Tenderloin,5,10-16,22.3,87.75,5.0,16,1
Tenderloin,5,16-19,32.73,84.5,10.5,16,2
Tenderloin,5,19-0,35.92,114.75,6.25,16,3
Tenderloin,5,7-10,11.91,49.5,2.25,16,4
Tenderloin,6,0-7,5.33,18.75,0.75,16,0
Tenderloin,6,10-16,17.65,41.75,5.25,16,1
Tenderloin,6,16-19,23.58,50.5,8.5,16,2
Tenderloin,6,19-0,13.64,46.75,0.75,16,3
Tenderloin,6,7-10,9.46,23.5,1.75,16,4
Union Square,0,0-7,2.18,12.6,0.0,17,0
Union Square,0,10-16,11.58,28.6,0.8,17,1
Union Square,0,16-19,16.27,39.6,2.2,17,2
Union Square,0,19-0,7.27,38.2,0.0,17,3
Union Square,0,7-10,11.15,25.2,1.0,17,4
Union Square,1,0-7,2.09,12.2,0.0,17,0
Union Square,1,10-16,12.89,32.8,1.2,17,1
Union Square,1,16-19,18.36,45.4,1.4,17,2
Union Square,1,19-0,9.25,48.4,0.0,17,3
Union Square,1,7-10,11.75,26.4,1.2,17,4
Union Square,2,0-7,2.43,12.8,0.0,17,0
Union Square,2,10-16,13.88,32.6,1.8,17,1
Union Square,2,16-19,20.9,56.2,2.8,17,2
Union Square,2,19-0,11.99,60.4,0.0,17,3
Union Square,2,7-10,13.27,32.6,0.8,17,4
Union Square,3,0-7,2.93,14.75,0.0,17,0
Union Square,3,10-16,16.35,40.5,1.5,17,1
Union Square,3,16-19,19.11,60.75,2.0,17,2
Union Square,3,19-0,13.44,70.75,0.0,17,3
Union Square,3,7-10,15.91,42.75,1.75,17,4
Union Square,4,0-7,2.88,12.25,0.0,17,0
Union Square,4,10-16,15.5,37.25,1.0,17,1
Union Square,4,16-19,18.95,58.75,2.5,17,2
Union Square,4,19-0,19.46,105.0,0.5,17,3
Union Square,4,7-10,15.01,37.5,1.25,17,4
Union Square,5,0-7,2.21,7.75,0.0,17,0
Union Square,5,10-16,18.54,53.75,1.75,17,1
Union Square,5,16-19,21.53,52.5,2.25,17,2
Union Square,5,19-0,20.06,86.75,0.0,17,3
Union Square,5,7-10,8.13,25.5,0.25,17,4
Union Square,6,0-7,2.43,9.5,0.25,17,0
Union Square,6,10-16,15.06,45.25,1.75,17,1
Union Square,6,16-19,17.24,45.25,3.0,17,2
Union Square,6,19-0,8.08,47.0,0.0,17,3
Union Square,6,7-10,6.47,23.0,0.25,17,4
Western Addition,0,0-7,3.09,14.6,0.0,18,0
Western Addition,0,10-16,8.22,25.0,2.4,18,1
Western Addition,0,16-19,12.85,34.2,4.6,18,2
Western Addition,0,19-0,8.94,42.0,0.2,18,3
Western Addition,0,7-10,10.3,27.4,4.0,18,4
Western Addition,1,0-7,2.87,12.2,0.0,18,0
Western Addition,1,10-16,8.94,25.8,2.6,18,1
Western Addition,1,16-19,14.65,49.6,6.0,18,2
Western Addition,1,19-0,11.28,54.6,0.2,18,3
Western Addition,1,7-10,11.52,32.4,3.8,18,4
Western Addition,2,0-7,2.91,13.6,0.2,18,0
Western Addition,2,10-16,9.53,25.2,3.0,18,1
Western Addition,2,16-19,15.77,54.4,4.6,18,2
Western Addition,2,19-0,13.82,61.2,0.0,18,3
Western Addition,2,7-10,11.92,30.0,4.4,18,4
Western Addition,3,0-7,3.13,13.75,0.0,18,0
Western Addition,3,10-16,10.01,25.75,3.5,18,1
Western Addition,3,16-19,15.61,61.25,4.5,18,2
Western Addition,3,19-0,16.75,81.0,1.0,18,3
Western Addition,3,7-10,12.38,32.0,5.25,18,4
Western Addition,4,0-7,2.98,16.75,0.0,18,0
Western Addition,4,10-16,10.29,30.5,3.5,18,1
Western Addition,4,16-19,19.05,77.75,5.5,18,2
Western Addition,4,19-0,23.76,89.5,3.0,18,3
Western Addition,4,7-10,11.91,31.25,2.75,18,4
Western Addition,5,0-7,2.98,15.0,0.25,18,0
Western Addition,5,10-16,14.74,40.75,4.0,18,1
Western Addition,5,16-19,22.67,61.5,6.75,18,2
Western Addition,5,19-0,24.01,83.5,4.0,18,3
Western Addition,5,7-10,6.84,21.0,0.5,18,4
Western Addition,6,0-7,3.52,19.25,0.25,18,0
Western Addition,6,10-16,12.6,31.5,3.5,18,1
Western Addition,6,16-19,16.09,48.0,4.75,18,2
Western Addition,6,19-0,8.72,41.75,0.25,18,3
Western Addition,6,7-10,5.73,18.75,0.75,18,4
Western SoMa,0,0-7,2.35,33.4,0.0,19,0
Western SoMa,0,10-16,11.27,56.0,2.6,19,1
Western SoMa,0,16-19,17.12,74.4,2.6,19,2
Western SoMa,0,19-0,7.42,50.4,0.0,19,3
Western SoMa,0,7-10,16.24,81.2,3.2,19,4
Western SoMa,1,0-7,2.13,33.6,0.0,19,0
Western SoMa,1,10-16,12.93,51.4,3.4,19,1
Western SoMa,1,16-19,20.37,80.2,2.4,19,2
Western SoMa,1,19-0,9.61,59.2,0.0,19,3
Western SoMa,1,7-10,17.1,80.6,3.2,19,4
Western SoMa,2,0-7,2.2,28.4,0.0,19,0
Western SoMa,2,10-16,13.89,55.6,3.0,19,1
Western SoMa,2,16-19,21.86,86.6,3.2,19,2
Western SoMa,2,19-0,12.14,57.6,0.2,19,3
Western SoMa,2,7-10,18.27,85.0,3.6,19,4
Western SoMa,3,0-7,2.72,37.0,0.0,19,0
Western SoMa,3,10-16,15.33,70.25,2.75,19,1
Western SoMa,3,16-19,19.61,85.5,3.75,19,2
Western SoMa,3,19-0,15.57,65.75,0.0,19,3
Western SoMa,3,7-10,21.72,103.5,4.0,19,4
Western SoMa,4,0-7,2.71,31.5,0.0,19,0
Western SoMa,4,10-16,14.56,71.5,1.5,19,1
Western SoMa,4,16-19,23.03,98.25,4.5,19,2
Western SoMa,4,19-0,22.25,117.75,0.75,19,3
Western SoMa,4,7-10,19.29,105.0,2.5,19,4
Western SoMa,5,0-7,3.02,12.75,0.0,19,0
Western SoMa,5,10-16,11.67,40.75,2.25,19,1
Western SoMa,5,16-19,16.54,53.0,2.5,19,2
Western SoMa,5,19-0,23.12,201.75,1.25,19,3
Western SoMa,5,7-10,5.84,24.0,0.5,19,4
Western SoMa,6,0-7,3.76,22.25,0.0,19,0
Western SoMa,6,10-16,9.29,32.75,2.5,19,1
Western SoMa,6,16-19,11.71,33.0,2.5,19,2
Western SoMa,6,19-0,6.58,29.25,0.0,19,3
Western SoMa,6,7-10,4.23,24.0,0.5,19,4
